,Final Translation,Symbols
Tower Front Map,"If waters from above do not sustain, notice what is below.",e..l(..d..S..K..i..IY-..@O..n)n..N..iS
Town Ruin-1,Earth looks not to us. Veiled and unseen. Sky gifts water and home.,&..OC#..i..v..{..........REiO..^..R<iO..........$..“/C#......EC
Town Ruin-2,Raise cup skyward to wait your fill. Give excess to others.,ImDS..*..RL$..v..iL..m..;iV..........“..RYiV..v..lZ
Town Ruin-3,The children have the knowledge of past and present without us how?,q..liYFE..M..q..B..j..H..^..C#..iy..{..nIn
Town Ruin-4,"Separate we die, but together we survive, of a single mind.",p..-..I@-..a..w..-..I-..j..\..il..B<
Tower Floor 1-1,"We have to fight the Dry Sky. Do not fear labor, there are worse reasons for a body pain.",~..M..v..I>..q..i($..........K..i..IUAB..;G..s..lN..YU..;linB..c..\..<..U<A
Tower Floor 1-2,"New people are parched. We gather water in the middle, but moving water from below is meaningless if the effort gives us thirst.",R@H..lE..lN..R<i(..........~..Imw..(..f..q..@i@..a..ID..(..d..iS..N..Ri;inB..e..q..;G..“..{..;<i(
Tower Floor 1-3,"Why take what Sky gifts and use it so, spitting to Sky effort? You want more blessings without effort.",nBn..i”..n)n..$..“/..^..IG..h..o..IE>(..v..$..;GA..........iz..MA..Y..l/..iy..;GA
Tower Floor 1-4,Is it foolish to fight fate? A tree limb grows so far as the trunk does bear.,N..h..RiB....I>..........\..&mY-..A<;)P..IYF..o..RYiC.._..q..<&Y-..k..Im)
Tower Floor 1-5,"We have to spread our future to the distance, so as not to be the only people.",~..M..v..IYC..}..iH..v..q..CF..o.._..v..i..J..q..Ril..lE
Aqueduct-1,"Waste is growing in size. Dry the water below. Capital has excess, but the far people survive from this flow.",U)..N..IYF..f..F..........Ii(..q..(..iS..........wC..M..RYiV..a..q..RYiC..lE..I-..d..u..I(D
Aqueduct-2,Size of people grow. More buildings. Land and food shrink. But we are together. But I fear. What if connection fails?,F..j..lE..IYF..........Y..lEC..........&m..^..&m-E..IiYF..........a..~..lN..w..........a..z..IUAB..........n)n..e..<w<..iIG
Aqueduct-3,"Open the paths of life, and prosperity grows and spreads.",IPC..q..lCvC..j..-..^..iH/..IYF..^..IYC
Tower Floor 2-1,"Before, we lacked water. Presently we lack food and land. We build, word by word. I hope my words are not the top of the Tower.",C#vH..~..HIim..(..........RC#....Iim..&m-E..^..&m..........~..IGC..;Q..b..;Q..........z../A..zm..l;Q..lN..i..q..S@C..j..q..‘
Tower Floor 2-2,"Rocks fly across the sky and crash into homes. Came from somewhere. From horizon. Are there people and locations beyond the horizon, from the stories? I do not know.",l&m)..ID$..CvC@..q..$..^..IUD@..g..lEC..........HIDuC..d..nC..........d..@j$..........lN..s..lE..^..lC..Ri@YiC..q..@j$..d..q..lHB..........z..K..i..IB@
Tower Floor 2-3,"The mountains are useless. But something was there. A metal shell, nothing from the past. Words written, but not legible. Had to leave. Weather is presently worse. Told Lyceum.",q..l&mS..lN..iRIG..........a..n)..HN..s..........\..&miU)..V<..i)..d..q..H..........l;Q..RIB)..a..i..RBO..........HM..v..LdC..........($i+..N..RC#..........HQvE..:
Tower Floor 2-4,"We will build a future with rock, to house our knowledge. To house our fate.",~..iHIGC..\..iH..y..&m)..v..IEC..}..B..........v..IEC..}..@#B
Tower Floor 2-5,"In the past, we found answers that follow the flow. So it was in the past, and in the future. When lost, follow the water to the end.",f..q..H..~..HiU@O..lin..p..IEDvE..q..(D..........o..h..HN..f..q..H....f..q..iH..........n#n..n#n<..IEDvE..q..(..v..q..@
Lyceum-1,"Never spoke in Lyceum before. But we are waiting for an answer. Scholar spoke of a shell in the mountains. An ancient relic. We looked into it, saw something beyond us. We realized our answers are in the past.",i#..HQ..f..:..C#vH..........a..~..lN..iL..c..\..in..........BE..HQ..j..\..V<..f..q..l&mS..RYH..\..........~..HO..g..h..HO..n)..Ri@YiC..{..........~..HIinB..}..lin..lN..f..q..H
